respondent,QaPa0.8Pb1,QaPa1.5Pb0.9,QaPa1.2Pb0.8,QaPa0.5Pb1.2,QbPa0.8Pb1,QbPa1.5Pb0.9,QbPa1.2Pb0.8,QbPa0.5Pb1.2
1,3,0,0,3,0,0,0,0
2,0,0,0,2,0,0,0,0
3,1,0,0,1,0,0,0,0
4,5,3,3,7,5,4,5,3
5,5,3,4,5,0,0,0,0
6,2,0,0,3,1,3,3,0
7,5,0,0,6,4,4,5,0
8,2,1,0,0,0,0,0,0
9,2,0,0,2,0,2,2,0
10,2,0,0,3,0,2,1,1
11,2,1,1,2,0,1,1,0
12,5,0,0,10,0,4,5,0
13,8,2,3,10,4,4,4,3
14,4,2,2,5,0,1,1,0
15,2,0,0,6,2,2,3,0
16,2,2,2,2,0,0,0,0
17,2,1,2,4,2,2,2,1
18,2,1,1,3,1,2,2,1
19,3,1,1,4,0,0,0,0
20,4,1,1,8,2,2,4,1
21,5,1,1,7,6,5,7,2
22,1,0,0,6,1,1,1,0
23,1,1,0,5,3,1,1,0
24,1,0,0,1,0,0,1,0
25,2,0,0,5,1,2,2,0
26,2,1,1,4,1,2,2,1
27,5,2,3,9,3,4,5,2
28,2,1,1,3,1,1,1,0
29,2,0,0,5,1,1,1,0
30,0,0,0,0,0,0,0,0
31,5,3,3,5,5,5,5,3
32,5,1,2,10,3,4,5,2
33,3,3,3,3,0,0,0,0
34,3,3,3,3,3,3,3,3
35,4,2,2,4,0,2,2,0
36,2,0,0,4,1,1,1,0
37,4,0,1,6,3,3,4,1
38,3,0,1,4,1,2,3,1
39,2,0,0,3,2,2,2,1
40,0,0,0,0,0,0,0,0
41,4,2,2,8,0,0,0,0
42,5,2,3,5,5,5,5,2
43,3,2,3,5,1,2,3,1
44,1,0,0,2,1,1,1,0
45,5,4,3,10,1,2,3,0
46,3,1,1,3,0,2,2,0
47,5,4,3,8,3,4,4,0
48,4,1,1,4,1,3,3,1
49,4,1,1,4,1,3,3,1
50,2,0,0,5,0,2,2,0
51,2,1,2,6,2,2,2,2
52,1,0,0,4,1,1,1,0
53,20,0,0,30,0,20,20,0
54,2,0,0,3,1,2,2,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,4,3,1,10,0,2,3,0
58,2,2,2,3,2,2,2,2
59,3,2,2,4,0,0,0,0
60,4,4,4,4,0,0,0,0
61,2,0,0,4,0,1,1,0
62,1,1,3,4,1,1,2,3
63,4,1,2,6,4,5,6,2
64,0,0,0,1,0,0,1,0
65,3,2,2,5,1,0,2,0
66,3,0,0,8,2,3,4,0
67,3,2,2,4,0,0,0,0
68,2,0,0,2,0,2,2,0
69,2,1,1,4,0,2,1,0
70,1,0,0,1,0,1,1,0
71,2,1,1,3,1,2,2,1
72,1,0,0,5,0,1,1,0
73,2,1,2,3,1,2,2,1
74,3,0,1,4,0,1,2,0
75,2,1,1,3,1,2,2,2
76,3,2,2,4,2,2,3,2
77,2,1,1,3,1,1,2,1
78,4,2,3,8,4,3,3,2
79,5,0,0,10,0,5,5,0
80,3,1,2,4,0,1,1,0
81,2,1,1,3,1,2,2,1
82,2,1,1,2,1,1,1,1
83,12,7,8,20,10,10,11,9
84,3,1,1,5,2,2,3,1
85,5,1,1,10,4,4,5,1
86,5,0,0,10,3,10,10,0
87,4,3,4,6,0,0,1,0
88,4,1,2,4,3,3,3,1
89,0,0,0,0,2,2,2,2
90,2,0,0,8,0,1,2,0
91,3,2,2,4,2,2,3,2
92,3,0,0,5,0,2,3,0
93,2,1,1,4,1,2,2,0
94,2,1,1,3,2,2,2,2
95,2,0,0,2,1,3,3,1
96,6,2,2,10,4,6,6,2
97,3,2,2,4,2,2,2,1
98,5,0,0,7,0,5,5,0
